str:bruno jose maria  int:-10 -4 4  float:-0.00 3.00 9.00  p:(3.8,1.3) (-4.8,-4.2) 
str:carlos carlos lucas  int:-4 1 10  float:5.30 5.80 8.20  p:(-1.1,1.0) 
str:ana carlos maria rafaela  int:-8 -6 -6 9  float:-6.10  p:(2.2,4.4) (-4.7,2.8) 
str:joao lucas  int:-8 -6 -5 9  float:-3.00 -0.80  p:(-1.2,-1.6) (3.8,3.9) 
str:bruno jose jose lucas  int:-4 0 5 10  float:-9.70 -8.40 -4.70  p:(-2.5,1.9) (1.3,3.8) 
str:henrique joao joao paula  int:-6 -5 1 5  float:4.00  p:(0.6,-4.1) 
str:clara lucas  int:1 2 8 10  float:-4.30  p:(3.7,-2.2) 
str:bruno juliana juliana maria  int:-9 -3 1 10  float:-3.70 -2.00 7.60  p:(-2.4,2.6) (-3.5,-3.6) 
str:henrique jose maria rafaela  int:-10 -5 0 5  float:8.20 9.50  p:(-1.9,-3.1) (-3.6,1.6) 
str:carlos rafaela  int:-9 -8 -1 5  float:10.00  p:(-0.1,-1.8) (-0.2,3.1) 
str:ana carlos juliana rafaela  int:-9 0 3  float:-4.90 4.00  p:(4.8,1.9) 
str:carlos jose  int:-10 -7 6  float:-7.80 2.30 5.00  p:(-2.4,2.5) 
str:clara juliana juliana paula  int:6 8  float:-6.80 3.00 7.90  p:(2.9,-4.7) 
str:bruno bruno carlos lucas  int:-9 -6 3  float:-9.70 -7.30 -2.30  p:(-4.7,4.2) 
str:henrique jose paula  int:-4 3 8  float:-4.80 -4.80  p:(0.1,0.2) (-4.7,-0.6) 
str:clara jose julia  int:-4 -3 6 7  float:-0.40 0.70 4.80  p:(-0.4,-1.2) 
str:carlos juliana lucas maria  int:-7 -1 10 10  float:-8.40 -8.10 -2.10  p:(-2.4,-2.0) (3.4,-2.3) 
str:bruno henrique joao lucas  int:-10 -7 2 8  float:-6.70 -2.80  p:(1.8,2.0) (0.7,4.5) 
str:jose jose lucas paula  int:-5 -1 1 9  float:-8.90 -4.90  p:(2.4,-1.5) (-2.4,-3.5) 
str:henrique paula paula  int:-1 -1 5 7  float:-7.00  p:(-2.8,2.4) (-4.8,0.3) 
str:julia julia  int:-4 2 4  float:-9.70 -8.60 4.40  p:(3.0,1.4) (4.4,-3.5) 
str:bruno clara joao juliana  int:-10 -2 10  float:1.00 8.00 9.90  p:(-4.5,0.3) 
str:ana bruno juliana rafaela  int:6 7  float:-4.00 2.20  p:(-0.1,3.7) (-3.8,1.1) 
str:joao jose jose lucas  int:6 7  float:4.10  p:(1.9,2.4) (-4.5,1.2) 
str:ana bruno  int:-7 0 4  float:0.10 3.40 9.00  p:(0.3,-3.1) (2.6,1.9) 
str:ana ana joao  int:-10 -6 -3  float:4.90  p:(-0.9,4.3) 
str:joao julia rafaela rafaela  int:-7 -4  float:-4.70 8.30  p:(-1.2,0.7) (4.8,-0.2) 
str:julia maria rafaela  int:-8 -4 8 10  float:1.90  p:(3.3,1.8) (-2.1,4.8) 
str:bruno clara henrique juliana  int:-10 -4  float:1.80  p:(-1.3,-2.1) 
str:ana bruno  int:2 5  float:-5.40  p:(-2.5,2.8) (4.0,4.3) 
str:henrique paula  int:-9 2 3 10  float:4.40  p:(-4.6,-3.6) 
str:bruno jose julia maria  int:-10 -9 -7  float:-9.90  p:(-0.3,-0.6) (3.5,-2.6) 
str:bruno clara juliana  int:-9 -7 -2 1  float:1.10  p:(2.6,3.7) (-2.3,4.7) 
str:julia lucas maria  int:-8 -8 -2  float:-3.40 -2.00 1.40  p:(-0.1,4.2) (-2.8,-4.8) 
str:carlos julia julia rafaela  int:0 3 4  float:-6.70 -6.40 -2.80  p:(-3.1,0.7) (3.2,2.6) 
str:ana ana paula  int:-8 -2 -2 1  float:-8.80 -4.80  p:(0.9,-0.6) 
str:carlos julia  int:-4 2 3 3  float:-4.70 -4.30 7.80  p:(1.4,3.2) 
str:paula rafaela  int:-1 8  float:-0.80 3.70  p:(-4.1,-2.1) 
str:carlos julia  int:-5 8  float:-7.70 0.80  p:(1.9,-1.2) (-4.2,3.7) 
str:ana ana juliana lucas  int:-10 -8 9  float:-9.90 -5.60 2.70  p:(-4.8,2.3) (4.6,-3.8) 
str:bruno carlos  int:-5 -4 1 10  float:1.70  p:(-1.8,2.5) (4.6,-2.0) 
str:ana joao  int:-8 -7 10  float:-9.70  p:(1.9,-2.3) (4.9,-2.0) 
str:clara julia lucas rafaela  int:-5 -3 6  float:-6.10 -1.10  p:(-0.6,4.5) 
str:bruno paula  int:-8 -4 1  float:-9.20 -2.40 3.40  p:(-0.9,-0.8) (2.3,2.1) 
str:ana henrique julia julia  int:-1 -1 5 9  float:-1.90 -0.70 0.00  p:(0.3,3.6) 
str:ana julia lucas rafaela  int:-7 -6 -5 6  float:2.60 7.00 7.00  p:(-2.2,1.3) 
str:carlos lucas  int:-7 -7 9  float:-9.20 0.80  p:(-1.9,-4.1) (-2.3,-4.5) 
str:juliana maria paula rafaela  int:6 8 9  float:-5.00  p:(-0.6,2.2) 
str:bruno bruno carlos rafaela  int:-6 1 3 10  float:-9.30 -4.80 -3.50  p:(-2.8,-1.0) 
str:maria rafaela  int:-9 0 4 10  float:-8.90 -2.10  p:(1.9,-3.1) 
str:bruno clara  int:-2 -2 1 10  float:2.70  p:(-0.4,3.1) (0.1,-4.1) 
str:ana ana  int:-8 1 9  float:6.80  p:(3.0,2.1) (3.6,-4.8) 
str:carlos carlos joao jose  int:-5 0 5 8  float:3.60 6.10  p:(3.5,-3.0) 
str:ana ana clara lucas  int:-1 0 9  float:-8.50 -3.50 6.70  p:(1.0,0.9) (-3.2,2.1) 
str:julia juliana rafaela  int:-6 3  float:-7.60 9.40  p:(4.1,2.0) (-4.6,-3.4) 
str:bruno jose rafaela  int:-3 -2  float:0.90  p:(-4.1,-4.6) 
str:clara maria  int:-2 7  float:-6.70 -0.60  p:(4.1,-1.8) 
str:ana juliana  int:-3 1 9  float:-2.60 9.20  p:(4.2,2.6) 
str:joao julia julia rafaela  int:-9 -5 -1 0  float:-6.80 -5.40 4.80  p:(-4.1,0.3) 
str:ana henrique  int:-6 -1 2 5  float:-6.40  p:(-1.0,-1.4) 
str:ana ana  int:-7 -1  float:-1.10 2.30  p:(-1.0,2.3) 
str:bruno clara joao  int:4 7  float:9.60  p:(-1.3,1.4) (4.1,-3.1) 
str:ana ana carlos henrique  int:-5 3 10  float:-3.40 2.80  p:(4.6,1.2) (-4.5,-2.8) 
str:carlos clara  int:-1 3 8  float:-7.40 -4.70 9.70  p:(-0.9,2.0) 
str:ana julia  int:-10 -2 8  float:-8.20 -4.60 -1.60  p:(1.7,0.7) (4.9,-2.0) 
str:ana joao lucas rafaela  int:-7 8 9  float:-7.60 -7.20 2.80  p:(0.7,-4.7) 
str:juliana maria  int:-2 -1 1 2  float:1.40  p:(4.6,0.9) 
str:carlos paula  int:-6 -4 5 9  float:8.40  p:(-0.1,-3.8) 
str:ana paula  int:-2 -1 2 7  float:3.30 8.90  p:(0.9,0.1) 
str:julia maria  int:-4 10  float:-8.00 -1.40 3.50  p:(0.5,0.6) (-0.0,2.4) 
str:bruno juliana  int:-10 -3 6  float:2.60 3.90  p:(0.6,-0.1) (-4.6,3.5) 
str:ana paula paula  int:-3 -2 2  float:-2.30 8.80  p:(-2.5,2.4) (-4.1,4.4) 
str:bruno henrique paula  int:-9 -8 2 3  float:-0.20 6.60 7.70  p:(3.9,-3.1) 
str:carlos henrique julia rafaela  int:-8 -8 3  float:-6.80  p:(-2.8,-2.7) (-3.4,3.1) 
str:carlos joao julia maria  int:-4 -2 5 8  float:-5.60  p:(3.0,2.9) 
str:bruno lucas  int:-10 -7 -3  float:-9.10 -1.10 -0.90  p:(4.4,2.9) 
str:ana bruno carlos julia  int:-10 -7 -5  float:6.10  p:(0.2,-2.8) (2.4,4.8) 
str:ana julia maria  int:-9 1 7  float:-2.80 1.90  p:(-5.0,-3.7) (-5.0,-4.4) 
str:carlos julia juliana paula  int:-4 -3  float:9.80  p:(4.4,-1.6) (-4.1,-3.2) 
str:clara lucas paula  int:-3 -2 4 7  float:-7.50 -3.60  p:(-3.5,-1.3) 
str:clara maria  int:-6 4 7  float:9.60  p:(-4.8,-4.2) 
str:paula paula paula  int:-2 5 10  float:-2.00 1.90  p:(-4.9,-3.2) 
str:carlos julia lucas paula  int:-7 -3 0 4  float:-8.60 -1.30  p:(-2.8,-0.4) (-0.1,-4.4) 
str:bruno juliana  int:-7 3 5 6  float:4.70  p:(-3.6,-0.4) 
str:ana lucas rafaela  int:3 6  float:2.40  p:(2.4,-4.7) 
str:bruno paula  int:-9 -7 -2  float:-5.20 -3.00 9.10  p:(-2.5,-4.0) 
str:joao lucas maria  int:-3 -3 -1 10  float:5.40 6.80  p:(-4.4,-3.1) 
str:bruno jose paula  int:4 6  float:-9.20  p:(0.3,-2.4) (5.0,1.7) 
str:joao joao  int:-6 2  float:2.40  p:(-4.8,-0.0) 
str:juliana maria  int:5 6 8  float:-1.00  p:(3.3,3.3) (-2.4,4.4) 
str:bruno juliana  int:-9 -3 -1 9  float:-3.80 -0.60 9.90  p:(0.8,-3.1) 
str:henrique henrique maria  int:-7 9  float:-5.80  p:(-1.0,-0.5) (-2.6,-0.8) 
str:ana ana henrique rafaela  int:1 4 8  float:-6.50 5.90  p:(-2.0,2.1) (4.0,0.4) 
str:juliana lucas  int:-5 6 8 10  float:-6.00 -2.10 8.40  p:(4.2,-1.5) 
str:ana clara joao maria  int:-6 9 10  float:1.20 7.90  p:(2.6,-4.5) (-2.9,5.0) 
str:jose rafaela  int:-9 -4 4 8  float:-3.40  p:(-4.0,-3.3) (-4.7,4.5) 
str:clara juliana maria  int:-5 -3 -3 6  float:-3.40 6.10  p:(-2.5,-4.4) 
str:joao julia julia rafaela  int:-8 -8  float:-8.30 -1.50  p:(-2.8,-1.8) 
str:bruno joao joao rafaela  int:-10 0  float:0.70  p:(4.2,-2.8) (-4.7,2.3) 
str:clara clara juliana paula  int:-7 0 1 9  float:-9.20 5.80 9.30  p:(2.2,-1.1) 
str:bruno carlos  int:-9 -3  float:-9.90 -9.40 -8.50  p:(-1.2,2.5) (-3.1,4.6) 
str:clara jose  int:-5 1  float:-6.30 -1.50  p:(-2.0,-1.0) (-0.8,-2.5) 
str:joao julia juliana maria  int:-3 5 10  float:-7.90 -6.50 2.20  p:(-4.1,0.5) (-4.9,-0.1) 
str:ana juliana rafaela  int:1 1 6 7  float:-9.10 -7.70 3.00  p:(3.0,4.7) 
str:ana rafaela rafaela  int:-1 6 8 10  float:-6.50  p:(0.3,-3.6) 
str:henrique julia  int:-5 4  float:-0.90 2.30 6.80  p:(0.2,-0.1) (-0.9,3.0) 
str:carlos joao juliana  int:-6 -5  float:-0.90 5.10  p:(-1.5,-4.0) (-3.1,4.8) 
str:bruno joao jose paula  int:-6 6 10  float:-1.70 0.80 9.00  p:(1.0,2.1) (1.3,2.8) 
str:henrique jose lucas  int:-6 -5 -3  float:-2.30 0.20 9.00  p:(1.9,3.9) 
str:clara henrique henrique rafaela  int:-10 2  float:-9.00 2.20 5.00  p:(0.1,-0.9) (-2.2,-2.4) 
str:henrique rafaela  int:-5 -3 0 0  float:-4.40 3.30 3.70  p:(-4.3,-3.2) 
str:ana julia  int:-6 -3 1  float:9.40  p:(-1.3,-3.2) 
str:julia julia maria  int:-3 1  float:-4.50 0.70 9.70  p:(-0.4,-4.2) (3.6,-4.5) 
str:carlos henrique  int:-10 -3  float:3.80 9.20  p:(-0.8,-2.6) 
str:carlos clara lucas  int:-4 0  float:-4.00 1.10 1.80  p:(-1.0,2.6) 
str:ana juliana maria rafaela  int:-6 0 4 8  float:-9.60 -7.30 -7.00  p:(-1.4,-2.9) (-0.1,-4.2) 
str:bruno henrique joao julia  int:-6 -2 4 9  float:-7.20 -2.80 0.30  p:(-2.5,-1.5) (-4.0,3.9) 
str:ana bruno lucas  int:-8 -3 1 7  float:-3.10 -1.00 4.90  p:(1.5,0.4) (-3.7,4.0) 
str:bruno julia rafaela  int:6 10  float:-4.80 5.20  p:(-1.6,-1.8) 
str:ana henrique julia julia  int:-7 3 3  float:-8.20  p:(3.0,-3.5) 
str:juliana maria paula  int:-5 -5 7  float:0.30  p:(4.2,-2.8) 
str:bruno clara maria  int:-10 -2 10  float:-2.40 3.50 7.80  p:(1.3,2.1) (1.6,-2.8) 
str:jose jose maria  int:0 4  float:-6.70 -2.30 2.80  p:(2.9,1.0) (4.2,-4.6) 
str:clara henrique julia paula  int:-6 4  float:7.00  p:(3.9,2.9) 
str:ana bruno carlos  int:-9 0 5  float:-7.00 -0.20 -0.10  p:(-3.6,-1.0) (4.7,0.5) 
str:bruno maria maria rafaela  int:6 8  float:-8.90 -6.20  p:(2.9,2.8) (-2.6,3.7) 
str:joao joao lucas rafaela  int:-9 5 7 8  float:-1.80 6.90  p:(2.4,-3.7) (1.7,4.1) 
str:carlos carlos rafaela  int:-6 -4 -3  float:-1.30  p:(-4.5,3.1) 
str:joao rafaela rafaela  int:-5 -4  float:7.20  p:(-0.5,-2.6) 
str:bruno clara henrique  int:-8 -5 -4  float:-9.90 -7.20 5.60  p:(3.8,-1.6) 
str:jose rafaela  int:-4 -2 10  float:-3.40 0.10  p:(0.6,3.5) 
str:ana maria  int:-2 1  float:-8.70 2.10  p:(1.0,-0.4) (-1.7,-1.5) 
str:henrique juliana  int:-8 -2 2  float:-5.20 7.30  p:(2.0,-3.3) (4.1,-1.0) 
str:carlos carlos jose juliana  int:2 5  float:0.30 5.40  p:(-1.8,1.3) 
str:carlos carlos henrique julia  int:-8 -3  float:-1.40 9.30  p:(-0.9,-4.8) 
str:bruno jose paula  int:-10 8  float:-5.70  p:(-1.3,-0.6) (1.2,-2.9) 
str:bruno bruno paula paula  int:-7 2 3 5  float:-0.00 6.20  p:(4.0,0.7) 
str:clara henrique joao lucas  int:-1 1 4 10  float:-7.10 -2.00 7.20  p:(-2.2,1.0) (-2.9,-2.8) 
str:ana carlos clara julia  int:-10 -5 -5 10  float:4.90 6.50  p:(3.3,0.5) (4.7,-3.5) 
str:carlos juliana juliana paula  int:0 2 7  float:-6.40  p:(-3.5,0.1) 
str:joao jose lucas lucas  int:-2 1 5  float:-7.30  p:(0.5,5.0) 
str:joao lucas  int:-4 -4 -3 -2  float:-7.20 9.50  p:(2.4,2.5) (4.6,-0.9) 
str:carlos lucas maria paula  int:-3 -2 7  float:5.50  p:(-2.5,2.0) (-3.7,3.7) 
str:bruno clara joao  int:-8 3 6 8  float:-7.10 -2.80 9.20  p:(3.1,4.4) 
str:ana henrique  int:-5 -4 6  float:1.10 6.70  p:(4.4,-0.9) 
str:bruno juliana paula  int:-10 -6 3 6  float:-8.00 3.20  p:(-1.8,-3.9) (4.7,2.6) 
str:clara lucas  int:-6 3 5 8  float:-4.40  p:(5.0,1.8) 
str:bruno carlos henrique julia  int:-9 -8 -2 -1  float:-0.80 6.00 6.10  p:(1.0,1.6) (-4.9,2.0) 
str:henrique juliana paula  int:3 5 9 10  float:-0.50  p:(-0.9,1.0) 
str:joao maria rafaela  int:2 10  float:-6.70  p:(0.8,-3.1) (4.6,1.9) 
str:ana joao juliana  int:-5 1  float:-0.70 3.00  p:(-1.8,-1.8) (-3.6,-1.1) 
str:julia maria rafaela rafaela  int:-9 -7 4  float:-5.30 7.20  p:(-0.6,-4.2) (-3.9,2.1) 
str:bruno clara julia juliana  int:-9 0 0  float:2.80  p:(-0.5,-1.2) 
str:clara henrique  int:-8 4  float:-3.20 0.30  p:(-4.7,-0.3) 
str:carlos joao juliana  int:-6 -1 -1 6  float:4.50 5.80 6.30  p:(-0.9,-0.8) (-4.8,-0.2) 
str:henrique jose maria rafaela  int:0 0 1  float:-7.00 -5.00  p:(1.7,-0.8) (-1.6,-1.3) 
str:ana joao rafaela  int:4 6 7 7  float:7.30  p:(3.3,2.0) (-3.2,-3.2) 
str:henrique joao julia rafaela  int:-5 5  float:-8.70 -4.10 2.90  p:(-0.5,0.7) (5.0,4.5) 
str:bruno lucas rafaela  int:-10 -9 -3 1  float:-6.80 1.10 9.20  p:(-4.3,3.0) (4.9,-1.9) 
str:joao juliana lucas maria  int:-8 -3 -1  float:-5.90 1.40 8.90  p:(-4.0,-1.7) 
str:henrique paula  int:-6 -5 3 9  float:-7.10 8.40  p:(-1.7,1.4) (2.4,-2.9) 
str:julia paula rafaela  int:-3 10  float:-7.90 -1.90 5.40  p:(-3.1,3.3) (-4.7,3.2) 
str:lucas maria  int:-10 -2 9  float:9.70  p:(2.4,-4.1) (3.4,4.3) 
str:bruno juliana paula  int:-10 -3 4 4  float:-7.60 -4.40 4.70  p:(2.0,-2.5) (4.0,3.7) 
str:henrique jose jose  int:-5 4  float:-5.40 6.40 8.10  p:(3.2,1.2) (1.9,-3.7) 
str:clara clara clara henrique  int:-10 -9 0  float:-2.30 -2.10 0.90  p:(1.2,1.7) 
str:joao julia julia  int:0 8  float:-7.40 -2.20  p:(-3.0,-2.3) 
str:julia lucas  int:-2 9  float:-8.30 -0.80  p:(1.8,-3.9) (4.9,3.7) 
str:clara jose  int:-9 4 4  float:-9.60 -2.80  p:(-1.9,-3.1) (-2.8,2.9) 
str:clara clara lucas rafaela  int:-1 5 10 10  float:7.60  p:(4.2,1.8) 
str:clara henrique joao lucas  int:-9 -8  float:-5.50  p:(2.6,5.0) (4.8,3.4) 
str:carlos maria  int:-5 5 6  float:-3.00 3.10 4.20  p:(-2.9,-2.0) (-4.1,-4.6) 
str:clara lucas  int:-10 -4 3 6  float:0.80 2.90 6.40  p:(-1.6,1.9) 
str:ana ana clara  int:-7 -3 -2  float:-0.00 3.10 6.10  p:(-0.0,-0.3) (2.7,-1.3) 
str:clara clara jose rafaela  int:-10 -2 -1 9  float:-5.10 -1.20 5.90  p:(2.0,-2.0) 
str:carlos henrique henrique joao  int:-8 0 2  float:-2.50 1.50  p:(0.9,-1.2) 
str:henrique rafaela  int:-9 -3 7 10  float:2.30  p:(2.3,-0.7) 
str:jose jose rafaela  int:-4 -3 4  float:-4.80 9.80  p:(-2.5,2.0) (4.9,0.7) 
str:ana bruno juliana lucas  int:-8 8 9  float:9.40  p:(3.5,-4.4) 
str:julia juliana juliana rafaela  int:-9 -2 -1 2  float:-7.70  p:(-2.2,-4.7) 
str:carlos maria  int:0 5 7  float:-7.10 -0.20  p:(1.2,-1.0) (-3.2,3.2) 
str:clara julia julia maria  int:-7 -7 -1 10  float:-8.00 -7.60 -1.30  p:(-0.0,3.2) 
str:ana carlos clara julia  int:-5 2 7 10  float:5.40  p:(-2.1,0.6) (4.9,3.4) 
str:ana bruno julia  int:-10 5 9  float:-1.00 7.10 9.50  p:(-2.0,1.9) 
str:henrique jose maria  int:0 3 9  float:-7.40 0.80  p:(0.7,2.8) 
str:bruno julia  int:-8 -8 -6 -3  float:-3.80 -3.00  p:(-2.0,-3.7) 
str:joao jose julia  int:-4 -1 3 10  float:-8.70 -0.70 9.90  p:(-0.0,-1.1) 
str:henrique henrique lucas  int:-4 1 5  float:-3.40 -0.80  p:(-1.4,-2.7) 
str:bruno julia maria  int:-8 3 8 9  float:-7.00 -2.80 7.70  p:(-3.0,1.8) (2.9,4.0) 
str:carlos rafaela  int:-8 -8 4  float:-5.70  p:(5.0,0.7) 
str:jose julia  int:-7 -6 6 10  float:8.30 9.70  p:(-2.4,-3.6) 
str:juliana lucas  int:-2 7  float:6.20  p:(-4.8,3.3) 
str:ana henrique  int:0 7  float:-7.40 -5.30  p:(-3.1,-3.6) 
str:clara juliana  int:-6 -6 7 10  float:-4.40 5.80  p:(-2.7,2.2) 
str:julia lucas paula  int:-6 -2 6  float:-0.50 9.50  p:(3.2,-1.7) 
str:ana maria paula  int:-4 -4 4 7  float:-9.50 2.90  p:(1.7,-1.4) 
str:ana bruno jose  int:-6 -5 9  float:-9.40 8.30  p:(2.4,2.5) (-3.5,2.9) 
str:carlos clara jose lucas  int:-3 2  float:5.60  p:(1.9,-3.6) 
str:clara clara jose  int:-7 -7 7  float:-5.30  p:(-3.4,4.6) 
str:carlos clara joao juliana  int:-10 -10 5 8  float:7.60  p:(-1.9,1.5) (4.4,-3.1) 
str:clara jose rafaela  int:-10 -9 -5 9  float:-5.10 9.70  p:(-3.4,1.7) 
str:clara jose  int:-6 6  float:-2.10  p:(-4.9,-3.6) 
str:ana bruno henrique henrique  int:-10 -9 3 8  float:-6.50 4.60 9.70  p:(-3.5,2.9) (4.0,-3.1) 
str:clara juliana rafaela  int:-5 2 3  float:-5.90 3.30 4.80  p:(2.3,-0.9) 
str:clara maria paula  int:-7 -3 -2 0  float:-9.60 -6.20 8.70  p:(4.0,1.8) (-4.1,-2.7) 
str:bruno jose maria paula  int:-9 -8 -7 -7  float:6.00 6.80  p:(-2.9,0.4) (4.6,4.2) 
str:ana joao  int:-10 -4 -3 -1  float:-9.40 -9.00 4.00  p:(-1.7,-4.6) (-5.0,0.2) 
str:bruno rafaela  int:-8 3  float:-5.80 9.40 9.80  p:(2.7,4.6) 
str:joao jose julia  int:-6 -4 -4 -3  float:0.20 4.10  p:(4.7,2.5) (4.6,4.3) 
str:bruno lucas  int:-7 -1  float:2.90 7.50  p:(1.9,3.5) 
str:henrique paula rafaela  int:-1 -1 8 9  float:-7.50 -2.90 -0.90  p:(-1.4,1.6) (3.3,0.9) 
str:clara julia rafaela  int:-7 -5 2 4  float:4.20 6.10  p:(3.6,-0.3) (5.0,-1.1) 
str:carlos henrique juliana lucas  int:2 9  float:-8.40 -2.90 -0.90  p:(2.1,2.4) (4.9,-3.2) 
str:bruno carlos jose lucas  int:-9 -4 -4 2  float:2.00 6.80 8.30  p:(-0.4,3.5) (-4.4,0.7) 
str:bruno jose maria rafaela  int:-7 8  float:-7.90 -4.70 3.50  p:(-1.6,-1.3) (-0.7,-3.0) 
str:bruno bruno paula  int:-8 5  float:-3.20 0.90 9.70  p:(-4.5,2.4) 
str:ana jose juliana juliana  int:-8 0 3 9  float:-2.80 8.90  p:(-2.1,4.4) (-4.9,2.0) 
str:carlos clara henrique henrique  int:-9 -5  float:-1.00 2.40 3.30  p:(-4.3,2.3) (-3.4,3.5) 
str:joao paula paula rafaela  int:-10 -1 2 6  float:-5.50 0.50 3.60  p:(-4.4,2.0) (1.4,4.9) 
str:carlos maria paula paula  int:-1 2 4 5  float:1.80  p:(3.7,-1.7) (4.8,-2.0) 
str:ana jose lucas  int:-8 -6  float:-7.60 -0.30 0.10  p:(4.3,0.7) 
str:clara henrique joao  int:0 6 6 9  float:-8.60  p:(2.5,-4.8) (-5.0,-2.5) 
str:julia paula  int:-9 -6 7  float:-2.00 6.50  p:(1.3,1.9) 
str:bruno clara  int:-7 4 5  float:2.50 5.60 6.00  p:(-3.5,0.8) 
str:rafaela rafaela rafaela  int:-5 0  float:-8.40  p:(2.3,4.6) 
str:ana ana clara henrique  int:-6 3 5  float:-6.50 5.80  p:(0.2,-2.5) 
str:carlos jose  int:-7 0 2 3  float:-7.30  p:(2.8,-0.4) (-4.2,3.7) 
str:jose jose julia julia  int:-9 6 6  float:-9.80 -1.80 2.50  p:(-0.9,-0.2) (-4.2,-0.6) 
str:jose lucas maria paula  int:-1 4  float:5.10 5.80  p:(-1.7,3.3) 
str:clara jose lucas rafaela  int:-2 3  float:-4.70  p:(0.6,0.5) (-3.6,0.5) 
str:bruno lucas maria rafaela  int:3 6  float:-3.80  p:(-0.7,2.0) 
str:joao jose jose  int:-10 -4 -2 7  float:-3.20 1.30  p:(3.4,4.4) 
str:clara julia maria maria  int:-6 -3 9 10  float:1.40  p:(-1.7,3.4) (-3.1,-2.8) 
str:carlos joao lucas rafaela  int:-4 2  float:-9.90  p:(0.5,0.1) (3.7,2.5) 
str:henrique paula  int:-3 1 3 3  float:-8.30 1.60  p:(4.9,-2.3) (-4.9,4.9) 
str:ana julia lucas  int:-9 9  float:-2.10 4.70 8.90  p:(-1.4,0.1) (4.6,2.6) 
str:bruno clara henrique  int:-10 -9 -5 -5  float:3.80  p:(-2.9,0.5) 
str:julia maria paula paula  int:-9 5  float:-9.60 -7.70  p:(-1.5,4.4) 
str:bruno jose jose  int:-8 -6 -3 9  float:-7.20  p:(-1.5,2.7) (4.2,4.2) 
str:bruno joao julia rafaela  int:-7 -3 0  float:-0.30  p:(-0.1,-1.4) (2.5,4.7) 
str:julia paula  int:-10 5  float:3.30 3.50 6.30  p:(1.4,3.6) 
str:henrique henrique julia juliana  int:8 9 9  float:-8.60 6.10 7.80  p:(-1.6,0.3) (0.9,2.6) 
str:ana joao juliana paula  int:-10 -10 -4 -4  float:0.80 5.20  p:(1.3,2.4) (3.1,1.9) 
str:ana rafaela rafaela  int:-6 4 9  float:2.90  p:(-1.6,3.2) (0.5,4.8) 
str:clara joao julia maria  int:-9 -8 -7 9  float:-9.40 -5.70  p:(1.1,-2.1) 
str:henrique joao  int:-2 0 2 8  float:-3.20 8.70  p:(3.9,0.4) (4.8,-1.0) 
str:ana clara maria  int:0 3 4  float:-0.70 3.00 6.90  p:(4.9,1.5) 
str:lucas lucas paula  int:-3 2 6  float:-6.80 -5.70 -0.10  p:(3.7,0.5) 
str:bruno carlos juliana lucas  int:4 9  float:-3.30 2.40 8.90  p:(-4.2,1.6) (4.9,-1.6) 
str:carlos henrique joao jose  int:-7 -2  float:-9.70 -5.10 0.70  p:(2.5,1.7) (2.2,3.6) 
str:ana julia maria  int:-5 3 6 9  float:-8.90 7.30  p:(4.0,-1.3) (-4.0,4.0) 
str:bruno jose  int:-10 -4 -2 5  float:-7.10  p:(-3.8,-5.0) 
str:carlos clara clara julia  int:-2 1  float:-0.70  p:(2.3,-4.3) (2.3,-4.8) 
str:ana carlos julia  int:6 9  float:-9.40 8.60  p:(0.6,-1.9) 
str:clara maria paula rafaela  int:-9 1 7 7  float:-9.00  p:(-1.8,2.6) (-1.6,4.8) 
str:ana henrique lucas  int:-2 1 7 10  float:-3.80 -3.20 4.70  p:(-3.7,1.7) (1.6,4.5) 
str:joao julia rafaela  int:0 7 8 9  float:-9.20 1.50 6.80  p:(3.7,0.8) (-3.9,0.9) 
str:carlos henrique jose  int:-7 -4 4  float:-2.80  p:(1.0,1.2) (1.9,-0.8) 
str:carlos carlos henrique lucas  int:-8 -8 -7  float:6.40  p:(1.0,-2.0) 
str:lucas rafaela  int:-10 -10 0 3  float:-3.50 6.80  p:(1.3,1.8) 
str:joao lucas  int:-6 9  float:-7.40 -5.70  p:(0.1,-0.4) (-4.5,-1.4) 
str:jose juliana juliana lucas  int:0 5  float:-2.20  p:(-2.7,-4.2) 
str:carlos jose lucas  int:-8 10  float:4.00  p:(0.7,1.5) (-4.9,4.4) 
str:ana bruno  int:3 7  float:-10.00  p:(1.2,-0.0) 
str:henrique henrique lucas  int:1 5 6 7  float:-6.10  p:(-2.8,-2.8) (3.8,-4.8) 
str:juliana juliana rafaela  int:7 9  float:-6.20 6.40  p:(3.2,2.5) (0.9,4.8) 
str:henrique maria  int:-9 -4 -3 2  float:0.20 3.30  p:(-4.5,-0.1) 
str:ana clara  int:5 5 9  float:-9.10 5.60  p:(-1.5,-4.6) 
str:ana bruno henrique  int:-6 4 4 8  float:-5.80 0.90 5.30  p:(-4.9,2.3) 
str:henrique joao julia juliana  int:-10 -2 2 6  float:-2.90 -2.30  p:(2.6,-0.5) (-2.8,-1.6) 
str:julia julia  int:-9 -6 6  float:-7.20 6.40 9.80  p:(1.8,2.6) 
str:ana joao julia rafaela  int:-7 2  float:-8.60 8.20  p:(2.3,-3.1) (0.3,-4.9) 
str:joao juliana lucas  int:-10 4 6  float:-3.00 -0.00 4.50  p:(-4.5,-0.4) (3.8,-4.0) 
str:henrique jose paula  int:-9 -3 3 6  float:-6.10 -5.50 -5.50  p:(-4.1,-0.1) (3.6,-2.1) 
